SKU	Model	Desc1	Desc2	Brand	SupplierSKU	web_info_text	web_info_feature#1	web_info_feature#2	web_info_feature#3	web_info_feature#4	web_info_feature#5	web_info_feature#6	web_info_feature#7	PriceMSRP	PriceRetailInc	QtyBreak1	QtyPrice1	QtyBreak2	QtyPrice2	QtyBreak3	QtyPrice3	QOH	ETA	web_image#01	web_image#02	web_image#03	web_image#04	web_image#05	CategoryCode	web_category#1	web_category#2	web_category#3	web_category#4	web_cat_code#1	web_cat_code#2	web_cat_code#3	web_cat_code#4	OnSale	Rank	Weight	Barcode	ProductURL	ProductHTML
00164130	AP259	INTERNAL MOUNT WINDOW AERIAL	CAR WINDOW STRIP AERPRO	AERPRO	AP259	Internal mount window strip car antenna.	High gain amplified AM/FM antenna	24cm adhesive strip attaches to inner edge of vehicle's window	12V DC amplifier	Cable Length: 259cm	12 Month Warranty			0.0000	28.9960	1	23.0000	2.0000	21.0000	3.0000	19.0000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00164130.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.1170	9317114876676	http://www.radioparts.com.au/product/00164130/-	<b>Internal mount window strip car antenna</b> <ul>  <li>High gain amplified AM/FM antenna</li> <li>24cm adhesive strip attaches to inner edge of vehicle's window</li>  <li>12V DC amplifier</li>  <li>Cable Length: 259cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00164135	AP265	REPLACEMENT MAST SUIT HOLDEN	VY2/VZ AERPRO	AERPRO	AP265	AP265 replacement mast suit Holden VY2/VZ.	5 section stainless steel mast	Extends to 98cm	Mast Diameter: 10mm	Sleeve Diameter: 11mm	Extends to 98cm			0.0000	33.0000	1	27.0000	2.0000	26.0000	3.0000	25.0000	2.0000		http://www.radioparts.com.au/Images/ProductImages/00164135.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.1600		http://www.radioparts.com.au/product/00164135/-	<b>AP265 replacement mast suit Holden VY2/VZ</b> <ul>   <li>5 section stainless steel mast<br />  </li>   <li>Extends to 98cm<br />   </li>   <li>Mast Diameter: 10mm<br />  </li>   <li>Retracted Length: 205mm<br />  </li>   <li>Sleeve Diameter: 11mm<br />  </li>   <li>Sleeve Length: 60mm<br />  </li>   <li>Packed in hang sell, full colour blister <br />  <br />   </li>  </ul>  </body>  </html>
00167068	AP172	CAR TELEVISION AERIAL		AERPRO	AP172	AP172 TV Antenna, 1 pce film type Stick on antenna.	No diversity box required	Plugs straight into TV tuner via "F" Connector	Simple application replacing unsightly external TV antennas	39.6cm Wide, 8.7cm High	Cable Length: 3 metres			0.0000	49.0000	1	35.0000	2.0000	32.0000	3.0000	29.0000	1.0000		http://www.radioparts.com.au/Images/ProductImages/00167068.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.1840		http://www.radioparts.com.au/product/00167068/-	<b>AP172 TV Antenna, 1 pce film type Stick on antenna</b>  <li> No diversity box required<br />  </li>   <li>Plugs straight into TV tuner via &quot;F&quot; Connector<br />   </li>   <li>Simple application replacing unsightly external TVantennas<br />   </li>   <li>39.6cm Wide, 8.7cm High<br />  </li>   <li>Cable Length: 3 metres<br />  </li>   <li>Packed in hang sell, full colour blister<br />  </li>
00169092	M3P	840MM AM/FM & RADIO AERIAL	MOBILE ONE	MOBILE ONE		Antenna receiving AM & FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz.	Excellent performing short antenna suitable for all mounting positions on vehicles							0.0000	45.0010	1	35.0000	3.0000	31.0000	5.0000	28.0000	0.0000	11-MAY-2018	http://www.radioparts.com.au/Images/ProductImages/00169092.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.2150		http://www.radioparts.com.au/product/00169092/-	<div id="rpgdesc">  <span style="font-weight: bold;">M3P AM FM Antenna</span> <ul>   <li>Antenna receiving AM &amp; FM frequencies of AM 525-1705kHz and FM 88-108MHz.</li>  <li>Excellent performing short antenna suitable for all mounting positions on vehicles</li>  <li>Includes: APN16 - 1.6m long cable and base</li> </ul>  </div>  </html>
00169093	M2P	1520MM AM / FM RADIO AERIAL	BEST FOR FM - MOBILE ONE	MOBILE ONE	M2P	Antenna receiving AM & FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz providing 2dB Gain on FM.	The M2p is supplied with a APN16 Base & 1.6m long RG62 coax and plug	This is the best performing AM/FM antenna on the market						0.0000	50.0000	1	40.0000	3.0000	36.0000	5.0000	33.0000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00169093.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.3020	9323986001016	http://www.radioparts.com.au/product/00169093/-	<span style="font-weight: bold;">M2P AM FM ANTENNA</span> <ul>   <li>Antenna receiving AM &amp; FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz providing 2dB Gain on FM</li> <li>The M2p is supplied with a APN16 Base &amp; 1.6m long RG62 coax and plug</li>   <li>This is the best performing AM/FM antenna on the market<br>   </li>  </ul>
00201510	AP332	20CM RIGHT ANGLE CAR AERIAL	EXTENSION LEAD AERPRO	AERPRO	AP332	Antenna Extension Cable, 90? Plug, 200mm.	20cm long with right-angled plug	Makes for easy installation where there is limited space behind the radio						0.0000	5.5000	1	4.2000	3.0000	3.9000	5.0000	3.6000	9.0000		http://www.radioparts.com.au/Images/ProductImages/00201510.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.0490	9317114865236	http://www.radioparts.com.au/product/00201510/-	<B>Antenna Extension Cable, 90&#176 Plug, 200mm</B> <ul>  <li>20cm long with right-angled plug. Makes for easy installation where there is limited space behind the radio.</li>  <li>Packed in hang-sell, full colour blister</li> </ul>
00202005	AP334	1M CAR AERIAL EXTENSION LEAD		AERPRO	AP334	1 metre antenna extension cable, ideal for when the antenna lead won't reach the radio.								0.0000	5.5000	1	3.6000	3.0000	3.2000	5.0000	2.8000	13.0000		http://www.radioparts.com.au/Images/ProductImages/00202005.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.0700	9317114865243	http://www.radioparts.com.au/product/00202005/-	<b>Antenna Extension Cable, 1 Metre</b> <ul>  <li>1 metre antenna extension cable, ideal for when the antenna lead won&apos;t reach the radio</li> </ul>
00202030	AP336	3M CAR AERIAL EXTENSION LEAD		AERPRO	AP336	3 Metre antenna extension cable, ideal for when the antenna lead won't reach the radio.								8.9900	8.4040	1	6.1000	3.0000	5.4000	5.0000	4.7000	10.0000		http://www.radioparts.com.au/Images/ProductImages/00202030.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.1250	9317114865250	http://www.radioparts.com.au/product/00202030/-	<b>Antenna Extension Cable, 3 Metre</b> <ul>  <li>3 metre antenna extension cable, ideal for when the antenna lead won&apos;t reach the radio</li> </ul>
00202401	CBA28	25MM AERIAL HOLE COVER / PLUG	SEALOPLUG	AERPRO	CBA28	Designed to easily conceal mounting holes in your vehicle.	Neat appearance							0.0000	3.9490	1	3.1000	3.0000	2.7100	5.0000	2.3900	42.0000		http://www.radioparts.com.au/Images/ProductImages/00202401.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNASJ	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.0320	9317114871350	http://www.radioparts.com.au/product/00202401/-	<b>25mm Antenna Hole Cover</b> <ul>  <li>Designed to easily conceal mounting holes in your vehicle</li>  <li>Neat appearance</li>  <li>Packed in full colour blister</li> </ul>
00203001	CAS4	LINE SOCKET FOR CAR AERIAL			N-4296	Solderless clamp-style design.								0.0000	1.3800	1	0.8300	3.0000	0.7900	5.0000	0.7700	61.0000		http://www.radioparts.com.au/Images/ProductImages/00203001.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.0080	9328202027405	http://www.radioparts.com.au/product/00203001/-	<b>Car Antenna Line Socket</b> <ul>  <li>Solderless clamp-style design</li> </ul>
